iterations	timeStamps	Destroy Operator	Recreate Operator	New Cost	Current Cost	Best Cost	Cumulative Known Solutions
1	17.5616	Random and Related Removal	Regret-3 Insertion	257636	257489	257489	1
2	18.0078	Random and Related Removal	Sequential Node Insertion	268747	257489	257489	2
3	18.4896	Random Removal	Sequential Node Insertion	269600	257489	257489	3
4	18.9184	Random Removal	Sequential Node Insertion	269620	257489	257489	4
5	19.3921	Random Removal	Sequential Node Insertion	270389	257489	257489	5
6	19.8272	Random and Related Removal	Sequential Node Insertion	267359	257489	257489	6
7	20.382	Random and Related Removal	Sequential Node Insertion	270478	257489	257489	7
8	20.879	Random and Related Removal	Sequential Node Insertion	272627	257489	257489	8
9	38.1031	Random and Related Removal	Regret-3 Insertion	258657	257489	257489	9
10	38.5916	Random and Related Removal	Sequential Node Insertion	268797	257489	257489	10
11	68.4246	Random Removal	Regret-3 Insertion	257848	257489	257489	11
12	133.496	Random and Related Removal	Regret-3 Insertion	257189	254699	254699	12
13	134.046	Random Removal	Sequential Node Insertion	270021	254699	254699	13
14	134.471	Random and Related Removal	Sequential Node Insertion	266697	254699	254699	14
15	134.951	Random Removal	Sequential Node Insertion	268723	254699	254699	15
16	166.862	Random and Related Removal	Regret-2 Insertion	254863	254699	254699	16
17	189.544	Random Removal	Regret-2 Insertion	255552	254699	254699	17
18	207.274	Random Removal	Regret-3 Insertion	254789	254699	254699	18
19	226.437	Random Removal	Regret-2 Insertion	254738	254699	254699	19
20	226.988	Random Removal	Sequential Node Insertion	270676	254699	254699	20
21	248.71	Random and Related Removal	Regret-2 Insertion	255012	254699	254699	21
22	249.206	Random and Related Removal	Sequential Node Insertion	270190	254699	254699	22
23	301.838	Random and Related Removal	Regret-3 Insertion	254448	254128	254128	23
24	320.659	Random Removal	Regret-3 Insertion	254153	254128	254128	24
25	321.107	Random and Related Removal	Sequential Node Insertion	267480	254128	254128	25
26	341.245	Random Removal	Regret-3 Insertion	254136	254128	254128	26
27	341.686	Random and Related Removal	Sequential Node Insertion	267406	254128	254128	27
28	342.24	Random and Related Removal	Sequential Node Insertion	268316	254128	254128	28
29	377.117	Random and Related Removal	Regret-2 Insertion	254206	254128	254128	29
30	396.357	Random and Related Removal	Regret-2 Insertion	254332	254128	254128	30
31	396.902	Random and Related Removal	Sequential Node Insertion	269410	254128	254128	31
32	397.409	Random and Related Removal	Sequential Node Insertion	267180	254128	254128	32
33	397.958	Random and Related Removal	Sequential Node Insertion	268759	254128	254128	33
34	418.242	Random and Related Removal	Regret-2 Insertion	255531	254128	254128	34
35	418.697	Random and Related Removal	Sequential Node Insertion	267676	254128	254128	35
36	452.292	Random and Related Removal	Regret-2 Insertion	254580	254128	254128	36
37	452.793	Random and Related Removal	Sequential Node Insertion	268038	254128	254128	37
38	472.954	Random Removal	Regret-2 Insertion	254271	254128	254128	38
39	499.107	Random Removal	Regret-2 Insertion	254531	254128	254128	39
40	525.526	Random Removal	Regret-2 Insertion	254055	254011	254011	40
41	544.715	Random and Related Removal	Regret-2 Insertion	254074	254011	254011	41
42	545.112	Random Removal	Sequential Node Insertion	266355	254011	254011	42
43	545.664	Random Removal	Sequential Node Insertion	270262	254011	254011	43
44	546.207	Random and Related Removal	Sequential Node Insertion	270256	254011	254011	44
45	570.427	Random Removal	Regret-2 Insertion	254023	254011	254011	45
46	592.79	Random Removal	Regret-3 Insertion	254013	253913	253913	46
47	615.165	Random and Related Removal	Regret-3 Insertion	254335	253913	253913	47
48	639.872	Random and Related Removal	Regret-3 Insertion	256334	253913	253913	48
49	673.787	Random and Related Removal	Regret-3 Insertion	254228	253913	253913	49
50	697.332	Random and Related Removal	Regret-2 Insertion	254081	253913	253913	50
51	724.254	Random and Related Removal	Regret-2 Insertion	253902	253856	253856	51
52	755.254	Random and Related Removal	Regret-3 Insertion	254411	253856	253856	52
53	755.643	Random Removal	Sequential Node Insertion	267080	253856	253856	53
54	796.892	Random Removal	Regret-2 Insertion	253744	253619	253619	54
55	797.316	Random Removal	Sequential Node Insertion	265381	253619	253619	55
56	819.3	Random Removal	Regret-3 Insertion	254432	253619	253619	56
57	849.504	Random Removal	Regret-3 Insertion	254005	253619	253619	57
58	849.984	Random Removal	Sequential Node Insertion	266663	253619	253619	58
59	850.435	Random Removal	Sequential Node Insertion	265063	253619	253619	59
60	874.318	Random and Related Removal	Regret-2 Insertion	254128	253619	253619	60
61	874.759	Random and Related Removal	Sequential Node Insertion	263664	253619	253619	61
62	904.13	Random Removal	Regret-2 Insertion	254357	253619	253619	62
63	904.536	Random Removal	Sequential Node Insertion	265181	253619	253619	63
64	929.949	Random and Related Removal	Regret-2 Insertion	253783	253619	253619	64
65	930.411	Random and Related Removal	Sequential Node Insertion	265275	253619	253619	65
66	954.602	Random Removal	Regret-2 Insertion	254507	253619	253619	66
67	955.041	Random Removal	Sequential Node Insertion	268388	253619	253619	67
68	983.124	Random and Related Removal	Regret-3 Insertion	253675	253619	253619	68
69	1013.64	Random and Related Removal	Regret-2 Insertion	253840	253619	253619	69
70	1014.09	Random Removal	Sequential Node Insertion	267434	253619	253619	70
71	1041.59	Random and Related Removal	Regret-3 Insertion	254321	253619	253619	71
72	1042.09	Random and Related Removal	Sequential Node Insertion	269755	253619	253619	72
73	1042.53	Random Removal	Sequential Node Insertion	265653	253619	253619	73
74	1077.15	Random Removal	Regret-3 Insertion	254046	253619	253619	74
